target_region,budget_retrains,budget_fraction,policy,mean_mae
EAS,7,0.23333333333333334,kl_source_target,6.473858454949929
EAS,7,0.23333333333333334,oracle,6.447291227831985
EAS,7,0.23333333333333334,random_expected,6.467678870196295
EAS,8,0.26666666666666666,action_value,6.459509399587459
EAS,8,0.26666666666666666,mmd,6.463458388935437
EAS,8,0.26666666666666666,wasserstein,6.465176781813304
EAS,8,0.26666666666666666,distance,6.466327571724401
EAS,8,0.26666666666666666,mean_shift,6.465176781813304
EAS,8,0.26666666666666666,kl_source_target,6.473320102619403
EAS,8,0.26666666666666666,oracle,6.446113457535253
EAS,8,0.26666666666666666,random_expected,6.466416483667162
EAS,9,0.3,action_value,6.4600415498560135
EAS,9,0.3,mmd,6.463990539203992
EAS,9,0.3,wasserstein,6.465708932081859
EAS,9,0.3,distance,6.465835436690938
EAS,9,0.3,mean_shift,6.465708932081859
EAS,9,0.3,kl_source_target,6.472793706185891
EAS,9,0.3,oracle,6.445002983266658
EAS,9,0.3,random_expected,6.465154097138029
EAS,10,0.3333333333333333,action_value,6.459509005980059
EAS,10,0.3333333333333333,mmd,6.459208053242078
EAS,10,0.3333333333333333,wasserstein,6.464800811608634
EAS,10,0.3333333333333333,distance,6.462092010685892
EAS,10,0.3333333333333333,mean_shift,6.460926446119945
EAS,10,0.3333333333333333,kl_source_target,6.472522242791726
EAS,10,0.3333333333333333,oracle,6.443983072006342
EAS,10,0.3333333333333333,random_expected,6.463891710608897
EAS,11,0.36666666666666664,action_value,6.458982609546547
EAS,11,0.36666666666666664,mmd,6.455464627237032
EAS,11,0.36666666666666664,wasserstein,6.464268267732679
EAS,11,0.36666666666666664,distance,6.4573095247239785
EAS,11,0.36666666666666664,mean_shift,6.45990653485963
EAS,11,0.36666666666666664,kl_source_target,6.472931925383482
EAS,11,0.36666666666666664,oracle,6.443074951533116
EAS,11,0.36666666666666664,random_expected,6.4626293240797645
EAS,12,0.4,action_value,6.458441335793698
EAS,12,0.4,mmd,6.454444715976717
EAS,12,0.4,wasserstein,6.463726993979831
EAS,12,0.4,distance,6.456289613463663
EAS,12,0.4,mean_shift,6.456163108854584
EAS,12,0.4,kl_source_target,6.472226541331321
EAS,12,0.4,oracle,6.442369567480954
EAS,12,0.4,random_expected,6.461366937550632
EAS,13,0.43333333333333335,action_value,6.457421424533382
EAS,13,0.43333333333333335,mmd,6.453906363646191
EAS,13,0.43333333333333335,wasserstein,6.463200597546319
EAS,13,0.43333333333333335,distance,6.45511184316693
EAS,13,0.43333333333333335,mean_shift,6.455636712421072
EAS,13,0.43333333333333335,kl_source_target,6.472758691599876
EAS,13,0.43333333333333335,oracle,6.441828293728106
EAS,13,0.43333333333333335,random_expected,6.460104551021499
EAS,14,0.4666666666666667,action_value,6.453677998528336
EAS,14,0.4666666666666667,mmd,6.453379967212679
EAS,14,0.4666666666666667,wasserstein,6.462662245215793
EAS,14,0.4666666666666667,distance,6.448444547075214
EAS,14,0.4666666666666667,mean_shift,6.455098360090546
EAS,14,0.4666666666666667,kl_source_target,6.472415131222119
EAS,14,0.4666666666666667,oracle,6.441289941397581
EAS,14,0.4666666666666667,random_expected,6.458842164492367
EAS,15,0.5,action_value,6.448581054355159
EAS,15,0.5,mmd,6.452968329588574
EAS,15,0.5,wasserstein,6.462250607591688
EAS,15,0.5,distance,6.445801820177021
EAS,15,0.5,mean_shift,6.454686722466442
EAS,15,0.5,kl_source_target,6.4713046569535235
EAS,15,0.5,oracle,6.440757397521626
EAS,15,0.5,random_expected,6.457579777963234
EAS,16,0.5333333333333333,action_value,6.448309590960994
EAS,16,0.5333333333333333,mmd,6.450708995660148
EAS,16,0.5333333333333333,wasserstein,6.457468121629774
EAS,16,0.5333333333333333,distance,6.444893699703795
EAS,16,0.5333333333333333,mean_shift,6.4545080833724064
EAS,16,0.5333333333333333,kl_source_target,6.471357395143221
EAS,16,0.5333333333333333,oracle,6.440231001088113
EAS,16,0.5333333333333333,random_expected,6.456317391434101
EAS,17,0.5666666666666667,action_value,6.448130951866959
EAS,17,0.5666666666666667,mmd,6.45096733013789
EAS,17,0.5666666666666667,wasserstein,6.456448210369459
EAS,17,0.5666666666666667,distance,6.44436115582784
EAS,17,0.5666666666666667,mean_shift,6.4545608215621035
EAS,17,0.5666666666666667,kl_source_target,6.470991535909249
EAS,17,0.5666666666666667,oracle,6.439717914480152
EAS,17,0.5666666666666667,random_expected,6.455055004904969
EAS,18,0.6,action_value,6.447639192378883
EAS,18,0.6,mmd,6.450454243529928
EAS,18,0.6,wasserstein,6.452704784364413
EAS,18,0.6,distance,6.443819882074992
EAS,18,0.6,mean_shift,6.454194962328132
EAS,18,0.6,kl_source_target,6.4708128968152145
EAS,18,0.6,oracle,6.439225779446689
EAS,18,0.6,random_expected,6.453792618375837
EAS,19,0.6333333333333333,action_value,6.447745193279151
EAS,19,0.6333333333333333,mmd,6.450560244430196
EAS,19,0.6333333333333333,wasserstein,6.452338925130442
EAS,19,0.6333333333333333,distance,6.4427094078063964
EAS,19,0.6333333333333333,mean_shift,6.453662418452178
EAS,19,0.6333333333333333,kl_source_target,6.465715952642038
EAS,19,0.6333333333333333,oracle,6.438734019958613
EAS,19,0.6333333333333333,random_expected,6.452530231846704
EAS,20,0.6666666666666666,action_value,6.445485859350725
